"Country or Area";"Year";"Area";"Month";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Sweden";"2012";"Total";"September";"Data tabulated by year of occurrence";"Final figure, complete";"2013";"6937";""
"Sweden";"2012";"Total";"October";"Data tabulated by year of occurrence";"Final figure, complete";"2013";"7484";""
"Sweden";"2012";"Total";"November";"Data tabulated by year of occurrence";"Final figure, complete";"2013";"7296";""
"Sweden";"2012";"Total";"December";"Data tabulated by year of occurrence";"Final figure, complete";"2013";"8439";""
"Sweden";"2012";"Total";"Unknown";"Data tabulated by year of occurrence";"Final figure, complete";"2013";"22";""
"Sweden";"2011";"Total";"Total";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"89938";""
"Sweden";"2011";"Total";"January";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"8634";""
"Sweden";"2011";"Total";"February";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"7270";""
"Sweden";"2011";"Total";"March";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"8139";""
"Sweden";"2011";"Total";"April";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"7515";""
"Sweden";"2011";"Total";"May";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"7306";""
"Sweden";"2011";"Total";"June";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"6709";""
"Sweden";"2011";"Total";"July";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"7190";""
"Sweden";"2011";"Total";"August";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"7019";""
"Sweden";"2011";"Total";"September";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"7101";""
"Sweden";"2011";"Total";"October";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"7612";""
"Sweden";"2011";"Total";"November";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"7191";""
"Sweden";"2011";"Total";"December";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"8200";""
"Sweden";"2011";"Total";"Unknown";"Data tabulated by year of occurrence";"Final figure, complete";"2012";"52";""
"Sweden";"2010";"Total";"Total";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"90487";""
"Sweden";"2010";"Total";"January";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"8552";""
"Sweden";"2010";"Total";"February";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7313";""
"Sweden";"2010";"Total";"March";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"8064";""
"Sweden";"2010";"Total";"April";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7505";""
"Sweden";"2010";"Total";"May";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7302";""
"Sweden";"2010";"Total";"June";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"6854";""
"Sweden";"2010";"Total";"July";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7254";""
"Sweden";"2010";"Total";"August";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7010";""
"Sweden";"2010";"Total";"September";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7082";""
"Sweden";"2010";"Total";"October";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7454";""
"Sweden";"2010";"Total";"November";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7450";""
"Sweden";"2010";"Total";"December";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"8602";""
"Sweden";"2010";"Total";"Unknown";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"45";""
"Sweden";"2009";"Total";"Total";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"90080";""
"Sweden";"2009";"Total";"January";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"9395";""
"Sweden";"2009";"Total";"February";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7912";""
"Sweden";"2009";"Total";"March";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"8023";""
"Sweden";"2009";"Total";"April";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7353";""
"Sweden";"2009";"Total";"May";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7346";""
"Sweden";"2009";"Total";"June";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"6814";""
"Sweden";"2009";"Total";"July";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"6922";""
"Sweden";"2009";"Total";"August";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"6792";""
"Sweden";"2009";"Total";"September";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"6707";""
"Sweden";"2009";"Total";"October";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7435";""
"Sweden";"2009";"Total";"November";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7386";""
"Sweden";"2009";"Total";"December";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"7875";""
"Sweden";"2009";"Total";"Unknown";"Data tabulated by year of occurrence";"Final figure, complete";"2010";"120";""
"Sweden";"2008";"Total";"Total";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"91449";""
"Sweden";"2008";"Total";"January";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"8363";""
"Sweden";"2008";"Total";"February";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7551";""
"Sweden";"2008";"Total";"March";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"8366";""
"Sweden";"2008";"Total";"April";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7842";""
"Sweden";"2008";"Total";"May";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7403";""
"Sweden";"2008";"Total";"June";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7072";""
"Sweden";"2008";"Total";"July";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7334";""
"Sweden";"2008";"Total";"August";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7039";""
"Sweden";"2008";"Total";"September";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7122";""
"Sweden";"2008";"Total";"October";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7379";""
"Sweden";"2008";"Total";"November";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"7443";""
"Sweden";"2008";"Total";"December";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"8423";""
"Sweden";"2008";"Total";"Unknown";"Data tabulated by year of occurrence";"Final figure, complete";"2009";"112";""
"Sweden";"2007";"Total";"Total";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"91729";""
"Sweden";"2007";"Total";"January";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"8431";""
"Sweden";"2007";"Total";"February";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7686";""
"Sweden";"2007";"Total";"March";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"8736";""
"Sweden";"2007";"Total";"April";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7792";""
"Sweden";"2007";"Total";"May";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7251";""
"Sweden";"2007";"Total";"June";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7059";""
"Sweden";"2007";"Total";"July";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7201";""
"Sweden";"2007";"Total";"August";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7002";""
"Sweden";"2007";"Total";"September";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7178";""
"Sweden";"2007";"Total";"October";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7503";""
"Sweden";"2007";"Total";"November";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"7476";""
"Sweden";"2007";"Total";"December";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"8276";""
"Sweden";"2007";"Total";"Unknown";"Data tabulated by year of occurrence";"Final figure, complete";"2008";"138";""
"Sweden";"2006";"Total";"January";"Data tabulated by year of occurrence";"Provisional figure";"2006";"8576";""
"Sweden";"2006";"Total";"February";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7358";""
"Sweden";"2006";"Total";"March";"Data tabulated by year of occurrence";"Provisional figure";"2006";"8177";""
"Sweden";"2006";"Total";"April";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7387";""
"Sweden";"2006";"Total";"May";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7389";""
"Sweden";"2006";"Total";"June";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7156";""
"Sweden";"2006";"Total";"July";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7384";""
"Sweden";"2006";"Total";"August";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7316";""
"Sweden";"2006";"Total";"September";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7186";""
"Sweden";"2006";"Total";"October";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7540";""
"Sweden";"2006";"Total";"November";"Data tabulated by year of occurrence";"Provisional figure";"2006";"7622";""
"Sweden";"2006";"Total";"December";"Data tabulated by year of occurrence";"Provisional figure";"2006";"8086";""
"Sweden";"2005";"Total";"Total";"Data tabulated by year of occurrence";"Final figure, complete";"2006";"91710";""
"Sweden";"2005";"Total";"January";"Data tabulated by year of occurrence";"Final figure, complete";"2006";"8217";""
